PLAYER NAME,AVERAGE SG:OTT,AVERAGE SG:PUTTING,GREENS %,GIR% - AVG%,TOTAL SG:PUTTING,TOTAL SG:OTT,PREDICTIVE SCORE
Bryson DeChambeau,1.175,0.838,70.41,2.4477952606635016,3.352,4.7,6.974795260663501
Harris English,0.326,0.56,71.09,2.9373952606635116,2.24,1.304,5.5033952606635115
Webb Simpson,0.122,0.617,70.96,2.843795260663498,2.468,0.488,5.433795260663498
Xander Schauffele,0.721,0.26899999999999996,71.74,3.4053952606635,1.0759999999999998,2.884,5.2023952606635
Jim Furyk,-0.099,-0.052000000000000005,74.22,5.190995260663503,-0.20800000000000002,-0.396,4.883995260663503
Denny McCarthy,-0.171,1.0859999999999999,67.58,0.4101952606635022,4.343999999999999,-0.684,4.583195260663501
Jon Rahm,0.7440000000000001,0.431,69.93,2.1021952606635077,1.724,2.9760000000000004,4.570195260663508
Tyrrell Hatton,0.095,0.524,70.19,2.289395260663503,2.096,0.38,4.480395260663503
Tom Lewis,0.162,0.287,70.49,2.5053952606635033,1.148,0.648,3.815395260663503
Daniel Berger,0.41200000000000003,0.574,68.27,0.9069952606635034,2.296,1.6480000000000001,3.614995260663503
Pat Perez,-0.154,0.298,70.47,2.490995260663505,1.192,-0.616,3.528995260663505
Doc Redman,0.413,0.023,71.11,2.951795260663502,0.092,1.652,3.456795260663502
Billy Horschel,0.387,0.633,67.71,0.5037952606634999,2.532,1.548,3.4227952606635
Brice Garnett,0.23600000000000002,0.171,70.44,2.4693952606635072,0.684,0.9440000000000001,3.3893952606635076
Will Gordon,0.564,-0.145,71.7,3.3765952606635112,-0.58,2.256,3.360595260663511
Gary Woodland,0.043,0.41700000000000004,69.15,1.5405952606635056,1.6680000000000001,0.172,3.251595260663506
Matthew Fitzpatrick,0.213,0.9159999999999999,66.09,-0.6626047393364916,3.6639999999999997,0.852,3.2143952606635082
Patrick Rodgers,0.308,0.6659999999999999,67.24,0.16539526066350518,2.6639999999999997,1.232,3.1373952606635047
Patrick Cantlay,0.371,0.261,69.31,1.655795260663509,1.044,1.484,3.070795260663509
Kristoffer Ventura,0.172,0.6940000000000001,67.17,0.11499526066350274,2.7760000000000002,0.688,3.062995260663503
Henrik Norlander,0.124,0.02,70.83,2.7501952606635003,0.08,0.496,2.9541952606635005
Justin Thomas,0.40700000000000003,0.066,70.16,2.2677952606635055,0.264,1.6280000000000001,2.9387952606635057
Russell Henley,0.012,-0.278,72.53,3.9741952606635094,-1.112,0.048,2.8741952606635093
Matthew NeSmith,-0.126,0.127,70.45,2.4765952606635064,0.508,-0.504,2.8585952606635066
Bo Hoag,-0.135,0.17800000000000002,70.09,2.217395260663511,0.7120000000000001,-0.54,2.794395260663511
Kyle Stanley,0.048,-0.32299999999999995,72.54,3.9813952606635086,-1.2919999999999998,0.192,2.737395260663509
Charles Howell III,-0.08,0.191,69.76,1.9797952606635052,0.764,-0.32,2.6637952606635054
Tony Finau,0.387,0.156,69.18,1.5621952606635112,0.624,1.548,2.5731952606635113
Adam Scott,0.005,0.392,68.33,0.9501952606635067,1.568,0.02,2.5231952606635066
Cameron Champ,1.06,0.042,68.8,1.2885952606635014,0.168,4.24,2.516595260663501
