PLAYER NAME,AVERAGE
Denny McCarthy,1.086
Matthew Fitzpatrick,.916
Kevin Na,.857
Andrew Putnam,.841
Bryson DeChambeau,.838
Matt Kuchar,.802
Christiaan Bezuidenhout,.772
Kristoffer Ventura,.694
Patrick Reed,.687
Patrick Rodgers,.666
Billy Horschel,.633
Webb Simpson,.617
Ian Poulter,.592
J.T. Poston,.574
Daniel Berger,.574
Harris English,.560
Mackenzie Hughes,.557
Wyndham Clark,.545
Kevin Kisner,.538
Tyrrell Hatton,.524
Maverick McNealy,.522
Dominic Bozzelli,.500
Brendon Todd,.489
Ricky Barnes,.474
Brandt Snedeker,.463
Sam Burns,.458
Mark Hubbard,.456
Richy Werenski,.455
Patton Kizzire,.453
Rhein Gibson,.432
Jon Rahm,.431
Cameron Smith,.427
Troy Merritt,.423
Gary Woodland,.417
Zach Johnson,.408
Adam Scott,.392
Beau Hossler,.384
Bronson Burgoon,.363
Peter Uihlein,.362
Lanto Griffin,.353
Abraham Ancer,.336
Peter Malnati,.333
Alex Noren,.326
Charl Schwartzel,.319
Sungjae Im,.305
Chase Seiffert,.300
Pat Perez,.298
Jason Day,.297
Vaughn Taylor,.294
Adam Long,.291
Talor Gooch,.289
Tom Lewis,.287
Keith Mitchell,.281
Vincent Whaley,.277
Xander Schauffele,.269
Michael Thompson,.262
Patrick Cantlay,.261
Aaron Baddeley,.256
Adam Hadwin,.254
Zac Blair,.253
Tommy Fleetwood,.250
Brian Harman,.249
Sepp Straka,.247
Danny Willett,.239
Max Homa,.234
Luke Donald,.209
Nate Lashley,.204
Kevin Chappell,.198
Rickie Fowler,.195
Michael Gellerman,.194
Charles Howell III,.191
Brian Gay,.179
Bo Hoag,.178
Brice Garnett,.171
Matthew Wolff,.166
Brandon Hagy,.160
Tony Finau,.156
Hudson Swafford,.146
Brendan Steele,.143
Louis Oosthuizen,.141
Nick Watney,.132
Matthew NeSmith,.127
Stewart Cink,.121
David Hearn,.120
Bud Cauley,.117
Austin Cook,.115
Seamus Power,.108
Steve Stricker,.107
Brian Stuard,.106
Scott Harrington,.102
Bubba Watson,.100
Adam Schenk,.097
Dustin Johnson,.096
George McNeill,.091
Kevin Streelman,.089
Cameron Tringale,.089
Matt Jones,.087
Tom Hoge,.085
Carlos Ortiz,.077
Xinjun Zhang,.072
Charley Hoffman,.071
Rafa Cabrera Bello,.067
Justin Thomas,.066
Scott Stallings,.063
Chris Stroud,.058
Jordan Spieth,.055
Sebastian Cappelen,.055
Rory McIlroy,.052
Cameron Champ,.042
Sebastián Muñoz,.037
Marc Leishman,.035
Ryan Moore,.033
Matt Wallace,.027
Mark Anderson,.027
Doc Redman,.023
Henrik Norlander,.020
Justin Rose,.020
Ben Martin,.014
Si Woo Kim,.012
Fabián Gómez,.011
Harry Higgs,.007
Sam Ryder,.000
Ben Taylor,-.002
Scottie Scheffler,-.002
John Senden,-.003
Cameron Percy,-.028
Nick Taylor,-.033
Jim Furyk,-.052
Rory Sabbatini,-.054
Roger Sloan,-.060
Nelson Ledesma,-.062
Chesson Hadley,-.065
Dylan Frittelli,-.070
Viktor Hovland,-.076
James Hahn,-.083
Tim Wilkinson,-.085
Phil Mickelson,-.089
Cameron Davis,-.091
Joel Dahmen,-.103
Collin Morikawa,-.121
J.J. Spaun,-.123
Jim Herman,-.135
Will Gordon,-.145
Robby Shelton,-.149
Joseph Bramlett,-.155
Graeme McDowell,-.161
Tyler Duncan,-.162
Michael Gligic,-.175
Harold Varner III,-.192
Scott Brown,-.199
Kyoung-Hoon Lee,-.221
Anirban Lahiri,-.222
Andrew Landry,-.232
Danny Lee,-.233
Brooks Koepka,-.236
Zack Sucher,-.253
Lucas Glover,-.262
Joaquin Niemann,-.267
Chez Reavie,-.273
Shawn Stefani,-.274
Russell Henley,-.278
Scott Piercy,-.284
Erik van Rooyen,-.289
Jonathan Byrd,-.291
Ryan Palmer,-.311
Chris Kirk,-.315
Doug Ghim,-.321
Kyle Stanley,-.323
Martin Trainer,-.325
Sung Kang,-.333
Ryan Armour,-.340
Jhonattan Vegas,-.347
Jimmy Walker,-.349
Kevin Tway,-.349
Russell Knox,-.350
Branden Grace,-.352
Jason Kokrak,-.354
Shane Lowry,-.362
Roberto Castro,-.417
D.J. Trahan,-.457
Chris Baker,-.463
"Ted Potter, Jr.",-.468
Aaron Wise,-.479
Luke List,-.480
Martin Laird,-.497
Rob Oppenheim,-.499
Byeong Hun An,-.503
Wes Roach,-.505
Kramer Hickok,-.534
Corey Conners,-.541
Ryan Brehm,-.547
Arjun Atwal,-.548
Robert Streb,-.573
Alex Cejka,-.582
Paul Casey,-.613
Hank Lebioda,-.615
Hideki Matsuyama,-.617
Matt Every,-.636
Keegan Bradley,-.649
Jason Dufner,-.681
Tyler McCumber,-.751
Sergio Garcia,-.754
C.T. Pan,-.767
Grayson Murray,-.770
Bo Van Pelt,-.783
Jazz Janewattananond,-.800
Josh Teater,-.800
Emiliano Grillo,-.934
Rafael Campos,-.938
Satoshi Kodaira,-.994
Bill Haas,-1.068
